label,Number of vcis,Operation Type,Message size,Number of entities,Number of communicators,Total message rates,Total bandwidth
pth_novci_1comm,,PT2PT,1,1,1,3.3475,3.3475
pth_vciopt_Ncomm,20,PT2PT,1,1,2,3.8466,3.8466
pth_vciopt_Ncomm_nolock,20,PT2PT,1,1,2,6.0952,6.0952
abt_vci_1comm_Nes,20,PT2PT,1,1,1,4.0303,4.0303
abt_vci_Ncomm_Nes,20,PT2PT,1,1,2,5.0842,5.0842
proc,20,PT2PT,1,2,1,8.1955,8.1955
pth_novci_1comm,20,PT2PT,1,2,1,1.2538,1.2538
pth_vciopt_Ncomm,20,PT2PT,1,2,2,3.8139,3.8139
pth_vciopt_Ncomm_nolock,20,PT2PT,1,2,2,6.5569,6.5569
abt_vci_1comm_Nes,20,PT2PT,1,2,1,4.347,4.347
abt_vci_Ncomm_Nes,20,PT2PT,1,2,2,3.684,3.684
proc,20,PT2PT,1,3,1,11.1023,11.1023
pth_novci_1comm,20,PT2PT,1,3,1,0.5101,0.5101
pth_vciopt_Ncomm,20,PT2PT,1,3,2,1.2214,1.2214
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,3,1,1.9973,1.9973
abt_vci_Ncomm_Nes,20,PT2PT,1,3,2,4.9584,4.9584
proc,20,PT2PT,1,4,1,13.9976,13.9976
pth_novci_1comm,20,PT2PT,1,4,1,0.4005,0.4005
pth_vciopt_Ncomm,20,PT2PT,1,4,2,1.7654,1.7654
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,4,1,2.4342,2.4342
abt_vci_Ncomm_Nes,20,PT2PT,1,4,2,4.4406,4.4406
proc,20,PT2PT,1,5,1,16.9327,16.9327
pth_novci_1comm,20,PT2PT,1,5,1,0.3647,0.3647
pth_vciopt_Ncomm,20,PT2PT,1,5,2,0.9871,0.9871
pth_vciopt_Ncomm_nolock,20,,,,,,
abt_vci_1comm_Nes,20,PT2PT,1,5,1,2.0816,2.0816
abt_vci_Ncomm_Nes,20,PT2PT,1,5,2,4.1217,4.1217
proc,20,PT2PT,1,6,1,17.5353,17.5353
