label,Number of vcis,Operation Type,Message size,Number of entities,Number of communicators,Total message rates,Total bandwidth
pth_vciopt_Ncomm,1,PT2PT,1,1,2,2.6273,2.6273
pth_vciopt_Ncomm_nolock,1,PT2PT,1,1,2,2.309,2.309
abt_vci_Ncomm_Nes,1,PT2PT,1,1,2,2.9229,2.9229
pth_vciopt_Ncomm,4,PT2PT,1,1,2,3.2539,3.2539
pth_vciopt_Ncomm_nolock,4,PT2PT,1,1,2,4.0307,4.0307
abt_vci_Ncomm_Nes,4,PT2PT,1,1,2,3.7924,3.7924
pth_vciopt_Ncomm,8,PT2PT,1,1,2,3.0083,3.0083
pth_vciopt_Ncomm_nolock,8,PT2PT,1,1,2,4.1192,4.1192
abt_vci_Ncomm_Nes,8,PT2PT,1,1,2,3.6242,3.6242
pth_vciopt_Ncomm,18,PT2PT,1,1,2,4.0953,4.0953
pth_vciopt_Ncomm_nolock,18,PT2PT,1,1,2,5.4861,5.4861
abt_vci_Ncomm_Nes,18,PT2PT,1,1,2,3.5689,3.5689
pth_vciopt_Ncomm,1,PT2PT,1,1,8,2.8193,2.8193
pth_vciopt_Ncomm_nolock,1,PT2PT,1,1,8,3.1992,3.1992
abt_vci_Ncomm_Nes,1,PT2PT,1,1,8,4.4962,4.4962
pth_vciopt_Ncomm,4,PT2PT,1,1,8,2.838,2.838
pth_vciopt_Ncomm_nolock,4,PT2PT,1,1,8,5.5291,5.5291
abt_vci_Ncomm_Nes,4,PT2PT,1,1,8,4.9878,4.9878
pth_vciopt_Ncomm,8,PT2PT,1,1,8,3.3181,3.3181
pth_vciopt_Ncomm_nolock,8,PT2PT,1,1,8,3.9548,3.9548
abt_vci_Ncomm_Nes,8,PT2PT,1,1,8,3.4957,3.4957
pth_vciopt_Ncomm,18,PT2PT,1,1,8,2.9325,2.9325
pth_vciopt_Ncomm_nolock,18,PT2PT,1,1,8,4.1707,4.1707
abt_vci_Ncomm_Nes,18,PT2PT,1,1,8,4.193,4.193
pth_vciopt_Ncomm,1,PT2PT,1,1,12,2.776,2.776
pth_vciopt_Ncomm_nolock,1,PT2PT,1,1,12,2.8014,2.8014
abt_vci_Ncomm_Nes,1,PT2PT,1,1,12,3.2896,3.2896
pth_vciopt_Ncomm,4,PT2PT,1,1,12,4.3988,4.3988
pth_vciopt_Ncomm_nolock,4,PT2PT,1,1,12,6.3678,6.3678
abt_vci_Ncomm_Nes,4,PT2PT,1,1,12,3.3909,3.3909
pth_vciopt_Ncomm,8,PT2PT,1,1,12,2.6604,2.6604
pth_vciopt_Ncomm_nolock,8,PT2PT,1,1,12,3.9233,3.9233
abt_vci_Ncomm_Nes,8,PT2PT,1,1,12,4.0194,4.0194
pth_vciopt_Ncomm,18,PT2PT,1,1,12,2.9831,2.9831
pth_vciopt_Ncomm_nolock,18,PT2PT,1,1,12,6.2192,6.2192
abt_vci_Ncomm_Nes,18,PT2PT,1,1,12,4.503,4.503
pth_vciopt_Ncomm,1,PT2PT,1,1,16,2.4132,2.4132
pth_vciopt_Ncomm_nolock,1,PT2PT,1,1,16,4.1627,4.1627
abt_vci_Ncomm_Nes,1,PT2PT,1,1,16,2.8641,2.8641
pth_vciopt_Ncomm,4,PT2PT,1,1,16,3.3353,3.3353
pth_vciopt_Ncomm_nolock,4,PT2PT,1,1,16,3.9837,3.9837
abt_vci_Ncomm_Nes,4,PT2PT,1,1,16,4.9766,4.9766
pth_vciopt_Ncomm,8,PT2PT,1,1,16,3.2963,3.2963
pth_vciopt_Ncomm_nolock,8,PT2PT,1,1,16,6.6232,6.6232
abt_vci_Ncomm_Nes,8,PT2PT,1,1,16,3.86,3.86
pth_vciopt_Ncomm,18,PT2PT,1,1,16,5.0674,5.0674
pth_vciopt_Ncomm_nolock,18,PT2PT,1,1,16,6.758,6.758
abt_vci_Ncomm_Nes,18,PT2PT,1,1,16,3.4322,3.4322
proc,-1,PT2PT,1,2,1,8.3296,8.3296
pth_vciopt_Ncomm,1,PT2PT,1,2,2,1.0818,1.0818
pth_vciopt_Ncomm_nolock,1,PT2PT,1,2,2,0.9449,0.9449
abt_vci_Ncomm_Nes,1,PT2PT,1,2,2,0.7697,0.7697
pth_vciopt_Ncomm,4,PT2PT,1,2,2,4.9558,4.9558
pth_vciopt_Ncomm_nolock,4,PT2PT,1,2,2,7.1576,7.1576
abt_vci_Ncomm_Nes,4,PT2PT,1,2,2,3.3058,3.3058
pth_vciopt_Ncomm,8,PT2PT,1,2,2,3.9727,3.9727
pth_vciopt_Ncomm_nolock,8,PT2PT,1,2,2,7.4946,7.4946
abt_vci_Ncomm_Nes,8,PT2PT,1,2,2,4.8711,4.8711
pth_vciopt_Ncomm,18,PT2PT,1,2,2,3.9798,3.9798
pth_vciopt_Ncomm_nolock,18,PT2PT,1,2,2,3.0586,3.0586
abt_vci_Ncomm_Nes,18,PT2PT,1,2,2,4.7882,4.7882
pth_vciopt_Ncomm,1,PT2PT,1,2,8,1.4671,1.4671
